taxa,20230210_BC19,20230210_BC52,20230210_BC38,20230210_BC39,20230210_BC54,20230210_BC42,20230210_BC55,20230210_BC25,20230210_BC06,20230210_BC26,20230210_BC10,20230210_BC51,20230210_BC01,20230210_BC60,20230210_BC14,20230210_BC20,20230210_BC56,20230210_BC28,20230210_BC22,20230210_BC59,20230210_BC21,20230210_BC50,20230210_BC23,20230210_BC17,20230210_BC18,20230210_BC37,20230210_BC13,20230206_BC30,20230206_BC32,20230206_BC31,20230206_BC33,20230215_BC19,20230215_BC38,20230215_BC30,20230215_BC42,20230215_BC25,20230215_BC27,20230215_BC16,20230215_BC12,20230215_BC14,20230215_BC29,20230215_BC20,20230215_BC24,20230215_BC41,20230215_BC22,20230215_BC21,20230215_BC23,20230215_BC17,20230215_BC18,20230131_BC41,20230322_BC53,20230322_BC62,20230322_BC44,20230322_BC63,20230322_BC58,20230322_BC46,20230322_BC43,20230322_BC47,20230322_BC37
diversity,3.253217426,1.848962917,3.847704814,3.641193771,2.756894536,3.119152272,1.785537558,3.004803122,2.468263611,1.215257857,1.398649254,2.326473129,3.297158966,2.713662914,2.176770978,2.798335085,2.289331899,1.034388269,2.367888786,2.496649825,3.276139744,3.149142238,2.480869507,3.828349514,1.907476798,2.030937895,2.792068252,3.836647702,2.233250709,3.068661166,2.843440208,3.343456731,2.584924634,2.633644577,2.909579691,3.157693416,3.432658561,1.700090546,3.031725283,1.761041501,2.407429868,2.8169844,2.105639747,3.293796111,2.395329167,2.577107617,2.375564778,2.725849737,2.964341995,1.394942178,1.618038914,3.65408685,2.478154303,3.019378342,1.391759246,1.787457253,3.426090644,2.746127516,1.450884837
observed,245.0,248.0,258.0,225.0,187.0,241.0,170.0,245.0,235.0,159.0,164.0,251.0,267.0,226.0,196.0,283.0,202.0,138.0,147.0,224.0,188.0,280.0,180.0,239.0,212.0,233.0,278.0,346.0,246.0,334.0,257.0,222.0,100.0,187.0,242.0,328.0,221.0,129.0,178.0,97.0,205.0,234.0,183.0,223.0,172.0,163.0,235.0,168.0,200.0,126.0,115.0,205.0,188.0,191.0,109.0,94.0,220.0,174.0,163.0
c__Actinobacteria,0.008593425,0.000590622,0.00402193,0.042195944,3.55189e-05,4.38148e-05,0.03509087,0.0002555,5.55422e-05,0.00180895,0.005752427,0.000571505,0.004031174,0.002586467,0.002154733,0.00389092,0.000436647,0.001134663,0.06816818,0.021753086,0.066377722,0.013416019,0.000937443,0.001309025,0.000441635,0.000777756,0.001065906,0.006916448,0.004592252,0.002356083,0.013654433,0.001135739,0.180296432,0.001405831,0.003848449,0.039253148,0.064885894,0.078953978,0.003322615,0.049642875,0.001403296,0.000312786,0.052128491,0.002750275,0.000193035,0.000176375,0.002266653,0.008118473,0.00039185,0.0010887,0.002539243,0.000757755,0.00094162,0.000270908,0.00218115,0.003569361,0.041762686,0.001290259,0.001977658
c__Alphaproteobacteria,0.000957137,0.0,0.00080888,0.0,1.77595e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44314e-05,3.77586e-05,5.8236e-05,0.000286345,0.0,0.0,0.0,1.45896e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.002017022,3.69864e-05,0.0,0.0,0.0,0.004359773,0.002676681,0.029868501,0.00173031,0.000130265,0.001806245,0.012965405,0.000214362,0.000151968,0.000963047,4.81209e-05,0.000142136,0.000165017,3.86071e-05,0.0,0.000135323,8.15927e-05,0.000569963,0.001260601,9.23361e-05,0.000142079,0.0,0.0,5.73987e-05,0.0,0.0,0.0,0.0
c__Bacilli,0.024490221,0.056982179,0.040129421,0.059979676,0.052905449,0.04133197,0.049313986,0.041825289,0.031788643,0.040845273,0.024854369,0.063627531,0.357846131,0.036153904,0.011763678,0.019993599,0.030035088,0.048037225,0.007220867,0.043637478,0.239570918,0.022307625,0.16391531,0.033677647,0.090783626,0.046038845,0.060953412,0.03761512,0.040663655,0.060629859,0.050700006,0.025425902,0.016379689,0.124253828,0.041229117,0.120495007,0.043731981,0.017831356,0.00659164,0.084392888,0.051068982,0.092656754,0.106566697,0.08630363,0.058142228,0.062172053,0.052944958,0.009587141,0.06807495,0.062285125,0.006463527,0.104049254,0.071071809,0.053872054,0.004419699,0.0062705,0.022997696,0.015631979,0.012453899
c__Bacteroidia,0.112546816,0.6871758,0.302431133,0.332070765,0.652749165,0.438031255,0.707671863,0.620072051,0.757336197,0.769297182,0.802305825,0.65385861,0.277247074,0.561754267,0.538333867,0.512472839,0.697528265,0.81772934,0.476557187,0.619284526,0.282500813,0.545497423,0.459484178,0.320568355,0.637914378,0.687277205,0.47250783,0.459444465,0.601436931,0.646626875,0.48885176,0.520351713,0.065279054,0.372631716,0.694033413,0.328788537,0.520511306,0.596471401,0.483226152,0.520895598,0.582835759,0.447235455,0.490263663,0.511331133,0.560535866,0.571189206,0.585879089,0.077186684,0.599992875,0.777905111,0.862419206,0.577172626,0.459264718,0.367583885,0.795718058,0.747925912,0.357757607,0.636792219,0.767651932
c__Campylobacteria,0.000208073,0.004853372,0.0,4.61915e-05,0.000106557,4.38148e-05,1.79585e-05,0.0003066,0.0,0.023989146,0.001723301,0.000247652,0.001123843,0.000679656,0.0,6.73752e-05,0.004756335,1.907e-05,2.00024e-05,0.004099676,8.66833e-05,0.012891956,0.0,0.001927837,0.067984212,2.16043e-05,0.0,0.0,0.0,0.0,0.0,0.001025829,0.0,0.00283329,0.004385442,0.000651324,0.000173677,0.0,0.0,0.0,0.001733484,9.62418e-05,0.000319807,0.004620462,0.001158212,4.40937e-05,6.76613e-05,0.0,0.004987176,0.0002292,0.0,4.73597e-05,0.003930238,0.001044932,0.008552405,0.0,0.014485256,0.0,0.003153562
c__Clostridia,0.704015814,0.12075651,0.552711994,0.407755555,0.140104426,0.280166496,0.042040802,0.172794399,0.111084369,0.072995252,0.050582524,0.137980302,0.245266424,0.253813623,0.236962409,0.234853206,0.118690058,0.033544056,0.241128935,0.148799276,0.341207065,0.165307014,0.24554143,0.568664318,0.195506362,0.149718063,0.305390204,0.375115582,0.153914525,0.252886201,0.249294233,0.326726507,0.463505253,0.434899213,0.104504773,0.114068606,0.281114314,0.06275507,0.419882101,0.053340763,0.254464409,0.399716087,0.077784095,0.241144114,0.211914138,0.111556947,0.146791163,0.81127611,0.185273582,0.087325235,0.10734072,0.215770779,0.284901335,0.145671272,0.085294455,0.10852788,0.39618116,0.101930425,0.040248009
c__Coriobacteriia,0.01002913,0.001065687,0.004965623,0.012564091,0.000621581,0.001445889,0.004112492,0.004982243,0.002147631,0.000904475,0.004199029,0.003314728,0.016417874,0.002775261,0.008764523,0.010375785,0.000810916,0.000791403,0.003360403,0.005441919,0.004507531,0.009642764,0.001143223,0.014732483,0.000441635,0.001274656,0.003410898,0.00425343,0.000740686,0.000667557,0.000864205,0.014801246,0.032559626,0.002119561,0.001431981,0.109639601,0.00955226,0.003421862,0.003590568,0.005420191,0.00715406,0.005750445,0.003269135,0.005115512,0.008184696,0.001234622,0.002198992,0.004650783,0.011506127,0.007105203,0.00023084,0.000805115,0.006181937,0.003792716,0.001721961,0.001157631,0.014955557,0.003374522,0.000534502
c__Dehalobacteriia,4.16146e-05,8.98773e-05,0.002449108,2.30958e-05,8.87973e-05,0.000146049,0.0,0.00012775,7.40562e-05,2.05563e-05,7.28155e-05,0.000152401,4.88627e-05,0.000132155,0.000203826,0.0,3.11891e-05,0.0,0.0,0.000160486,0.0,0.001537252,0.0,0.0,6.90055e-05,8.64174e-05,0.000180384,0.000221918,0.0,0.00019634,5.76136e-05,0.00010991,0.0,6.48845e-05,2.98329e-05,0.000825011,0.0,3.13932e-05,0.0,0.0,0.000137578,0.000120302,0.0,0.000220022,0.000231642,0.0,6.76613e-05,8.15927e-05,0.000284981,0.0,0.0,0.000378878,0.00016376,0.000193506,0.000114797,0.0,0.00037624,9.92507e-05,0.0
