serial_number,Heart Failure,Hypertension,Primary Sclerosing Cholangitis,Liver Cirrhosis,Chronic Enteropathy,Diarrhea,Acute Pancreatitis,Chronic Kidney Disease,Diabetes Mellitus,Cushing's Syndrome,Obesity,Dysbiosis,Diversity,DysbiosisHarmful,DysbiosisBeneficial,TotalScore
20230210_BC19,94.1,19.5,58.5,92.4,95.0,70.3,94.1,36.4,26.3,89.0,89.0,95.0,80.5,68.6,89.0,87.8
20230210_BC52,48.3,78.8,87.3,31.4,19.5,73.7,48.3,56.8,89.0,38.1,50.0,41.5,19.5,33.1,39.8,30.5
20230210_BC38,85.6,9.3,53.4,63.6,92.4,11.0,90.7,51.7,29.7,95.0,51.7,11.0,95.0,7.6,73.7,53.0
20230210_BC39,34.7,73.7,48.3,48.3,83.9,21.2,95.0,21.2,24.6,85.6,28.0,94.1,92.4,44.9,87.3,93.2
20230210_BC54,22.9,7.6,28.0,66.9,51.7,22.9,29.7,66.9,46.6,43.2,39.8,56.8,56.8,95.0,31.4,56.8
20230210_BC42,78.8,43.2,66.9,56.8,90.7,87.3,17.8,14.4,5.0,72.0,75.4,73.7,75.4,24.6,77.1,74.6
20230210_BC55,53.4,39.8,39.8,28.0,24.6,65.3,58.5,24.6,87.3,5.9,7.6,22.9,16.1,94.1,5.0,19.5
20230210_BC25,31.4,28.0,34.7,75.4,56.8,50.0,56.8,29.7,56.8,58.5,66.9,55.1,68.6,28.0,50.0,61.8
20230210_BC06,28.0,34.7,14.4,72.0,48.3,46.6,60.2,58.5,77.1,29.7,77.1,61.9,39.8,43.2,46.6,50.8
20230210_BC26,36.4,82.2,92.4,11.0,11.0,78.8,44.9,28.0,95.0,39.8,29.7,51.7,5.0,65.3,33.1,28.4
20230210_BC10,72.0,48.3,95.0,17.8,12.7,72.0,51.7,33.1,94.1,17.8,36.4,26.3,7.6,51.7,9.3,17.0
20230210_BC51,50.0,65.3,63.6,68.6,38.1,56.8,78.8,77.1,78.8,56.8,83.9,58.5,31.4,26.3,55.1,45.0
20230210_BC01,14.4,12.7,5.0,65.3,5.0,5.0,26.3,95.0,33.1,80.5,46.6,7.6,85.6,12.7,44.9,46.6
20230210_BC60,63.6,63.6,46.6,89.0,82.2,60.2,87.3,48.3,50.0,41.5,95.0,87.3,51.7,85.6,75.4,69.5
20230210_BC14,41.5,46.6,72.0,9.3,53.4,31.4,61.9,17.8,66.9,61.9,56.8,48.3,26.3,92.4,17.8,37.3
20230210_BC20,66.9,41.5,60.2,53.4,65.3,48.3,85.6,22.9,51.7,70.3,87.3,66.9,60.2,41.5,53.4,63.6
20230210_BC56,21.2,22.9,24.6,70.3,39.8,43.2,36.4,34.7,72.0,31.4,41.5,43.2,29.7,90.7,16.1,36.4
20230210_BC28,44.9,72.0,82.2,21.2,9.3,51.7,43.2,83.9,95.0,11.0,53.4,38.1,5.0,39.8,29.7,21.6
20230210_BC22,61.9,55.1,80.5,12.7,95.0,63.6,22.9,9.3,12.7,65.3,12.7,50.0,33.1,95.0,21.2,41.6
20230210_BC59,82.2,21.2,33.1,36.4,60.2,82.2,80.5,60.2,73.7,44.9,9.3,36.4,44.9,87.3,11.0,40.6
20230210_BC21,19.5,5.9,5.9,14.4,63.6,24.6,39.8,95.0,11.0,83.9,5.9,33.1,82.2,50.0,14.4,57.6
20230210_BC50,89.0,14.4,21.2,55.1,61.9,95.0,66.9,44.9,44.9,63.6,16.1,53.4,77.1,61.9,34.7,65.2
20230210_BC23,95.0,90.7,68.6,41.5,95.0,80.5,95.0,7.6,58.5,78.8,94.1,89.0,43.2,95.0,78.8,66.1
