ncbi_name,microbiome,microbiome_subtract,RA
Fusobacterium,"g__Fusobacterium
s__Stomatobaculum_naviforme",,11
Lactobacillus,g__Lactobacillus,,3.5
Bacteroides,"g__Bacteroides
s__Barnesiella_intestinihominis
s__CAG-462_sp900291465",,7.5
Prevotella,"g__Prevotella
s__Dysgonomonas_sp000711235
s__Prevotellamassilia_sp002933955",,4.6
Romboutsia,"g__Romboutsia
s__GCA-900066495_sp900066495",,3.1
Blautia,"g__Blautia
s__Ruminococcus_sp003011855
s__Fusicatenibacter_saccharivorans
s__Ruminococcus_sp000437095",,3.3
Clostridium,"g__Clostridium
s__Coprococcus_sp000154245
s__Ruminiclostridium_sp000244875
s__Eubacterium_sp000270305
s__Hungatella_sp000526575
s__Anaerocolumna_sp000702945
s__Khelaifiella_sp000744935
s__CAG-306_sp000980375
s__Coprococcus_sp900066115
s__TF01-11_sp001414325
s__MS4_sp000752215
s__CAG-217_sp000436335
s__Lachnoclostridium_sp900078195
s__Dorea_sp900086625
s__Faecalicatena_sp900120155
s__Flavonifractor_sp900199495
s__CAG-81_sp900066785
s__Absiella_innocuum
s__Bittarella_massiliensis
s__Hungatella_guttoideum
s__Lawsonibacter_asaccharolyticus
s__GCA-900066995_sp900291955",s__Clostridium_hiranonis,1.3
Anaerobiospirillum,g__Anaerobiospirillum,,1.7
Sutterella,g__Sutterella,,2.5
Faecalibacterium,"g__Faecalibacterium
s__Alistipes_sp900240235",,2.1
Peptacetobacter,s__Clostridium_hiranonis,,2.2
Turicibacter,g__Turicibacter,,0.8
Corynebacterium,"g__Corynebacterium
s__Brachybacterium_xerosis",,0.3
Paraprevotella,g__Paraprevotella,,1.8
Megamonas,g__Megamonas,,0.9
Prevotellamassilia,g__Prevotellamassilia,s__Prevotellamassilia_sp002933955,1
Allobaculum,g__Allobaculum,,0.7
Phascolarctobacterium,g__Phascolarctobacterium,,1
Holdemanella,g__Holdemanella,,0.7
