Disease,NCBI name,MIrROR name,subtract,Health sign
Cerebral Infarction,Lactobacillus sakei,s__Lactobacillus_sakei,,유익
Cerebral Infarction,Lactobacillus ruminis,s__Lactobacillus_ruminis,,유해
Cerebral Infarction,Atopobium,g__Atopobium,,유해
Cerebral Infarction,Atopobium,s__Lancefieldella_sp000411555,,유해
Cerebral Infarction,Atopobium,s__Lancefieldella_sp000564995,,유해
Cerebral Infarction,Atopobium,s__Olegusella_sp000466405,,유해
Cerebral Infarction,Atopobium,s__Fannyhessea_vaginae,,유해
Brain Tumors,Bifidobacterium,g__Bifidobacterium,"s__Bifidobacterium_vaginale
s__Bifidobacterium_lacrimalis",유익
Brain Tumors,Lachnospira,g__Lachnospira,,유익
Brain Tumors,Fusobacterium,g__Fusobacterium,,유해
Brain Tumors,Fusobacterium,s__Stomatobaculum_naviforme,,유해
Brain Tumors,Escherichia/Shigella,g__Escherichia,,유해
Brain Tumors,Roseburia,g__Roseburia,,유해
Brain Tumors,Hungatella,g__Hungatella,,유해
Dementia with Lewy Bodies,Agathobacter,g__Agathobacter,,유익
Dementia with Lewy Bodies,Butyricicoccus,g__Butyricicoccus,,유익
Dementia with Lewy Bodies,Butyricicoccus,s__Agathobaculum_butyriciproducens,,유익
Dementia with Lewy Bodies,Coprococcus,g__Coprococcus,,유익
Dementia with Lewy Bodies,Coprococcus,s__Tyzzerella_sp000411335,,유익
Dementia with Lewy Bodies,Coprococcus,s__Tyzzerella_nexilis,,유익
Dementia with Lewy Bodies,Faecalibacterium,g__Faecalibacterium,,유익
Dementia with Lewy Bodies,Faecalibacterium,s__Alistipes_sp900240235,,유익
Dementia with Lewy Bodies,Fusicatenibacter,g__Fusicatenibacter,,유익
Dementia with Lewy Bodies,Haemophilus,g__Haemophilus,,유익
Dementia with Lewy Bodies,Haemophilus,s__Histophilus_haemoglobinophilus,,유익
Dementia with Lewy Bodies,Bifidobacterium,g__Bifidobacterium,"s__Bifidobacterium_vaginale
s__Bifidobacterium_lacrimalis",유익
Dementia with Lewy Bodies,Collinsella,g__Collinsella,,유해
