Disease,NCBI name,MIrROR name,subtract,Health sign
Epilepsy,Pseudomonas,g__Pseudomonas,,유익
Epilepsy,Pseudomonas,s__Paraburkholderia_acidophila,,유익
Epilepsy,Anaerotruncus,g__Anaerotruncus,,유익
Meningoencephalomyelitis of Unknown Origin (MUO),Prevotellaceae,g__Prevotella,,유익
Meningoencephalomyelitis of Unknown Origin (MUO),Prevotellaceae,g__Alloprevotella,,유익
Meningoencephalomyelitis of Unknown Origin (MUO),Prevotellaceae,g__Paraprevotella,,유익
Meningoencephalomyelitis of Unknown Origin (MUO),Prevotellaceae,g__Prevotellamassilia,,유익
Meningoencephalomyelitis of Unknown Origin (MUO),Prevotellaceae,s__Dysgonomonas_sp000711235,,유익
Meningoencephalomyelitis of Unknown Origin (MUO),Prevotellaceae,s__CAG-462_sp900291465,,유익
Meningoencephalomyelitis of Unknown Origin (MUO),Prevotellaceae,s__F0040_sp900095835,,유익
Meningoencephalomyelitis of Unknown Origin (MUO),Prevotellaceae,s__RUG210_sp003265305,,유익
Cerebral Infarction,Lactobacillus sakei,s__Lactobacillus_sakei,,유익
Cerebral Infarction,Lactobacillus ruminis,s__Lactobacillus_ruminis,,유해
Cerebral Infarction,Atopobium,g__Atopobium,,유해
Cerebral Infarction,Atopobium,s__Lancefieldella_sp000411555,,유해
Cerebral Infarction,Atopobium,s__Lancefieldella_sp000564995,,유해
Cerebral Infarction,Atopobium,s__Olegusella_sp000466405,,유해
Cerebral Infarction,Atopobium,s__Fannyhessea_vaginae,,유해
Brain Tumors,Bifidobacterium,g__Bifidobacterium,"s__Bifidobacterium_vaginale
s__Bifidobacterium_lacrimalis",유익
Brain Tumors,Lachnospira,g__Lachnospira,,유익
Brain Tumors,Fusobacterium,g__Fusobacterium,,유해
Brain Tumors,Fusobacterium,s__Stomatobaculum_naviforme,,유해
Brain Tumors,Escherichia/Shigella,g__Escherichia,,유해
Brain Tumors,Roseburia,g__Roseburia,,유해
Brain Tumors,Hungatella,g__Hungatella,,유해
Dementia with Lewy Bodies,Agathobacter,g__Agathobacter,,유익
Dementia with Lewy Bodies,Butyricicoccus,g__Butyricicoccus,,유익
Dementia with Lewy Bodies,Butyricicoccus,s__Agathobaculum_butyriciproducens,,유익
Dementia with Lewy Bodies,Coprococcus,g__Coprococcus,,유익
Dementia with Lewy Bodies,Coprococcus,s__Tyzzerella_sp000411335,,유익
Dementia with Lewy Bodies,Coprococcus,s__Tyzzerella_nexilis,,유익
Dementia with Lewy Bodies,Faecalibacterium,g__Faecalibacterium,,유익
Dementia with Lewy Bodies,Faecalibacterium,s__Alistipes_sp900240235,,유익
Dementia with Lewy Bodies,Fusicatenibacter,g__Fusicatenibacter,,유익
Dementia with Lewy Bodies,Haemophilus,g__Haemophilus,,유익
Dementia with Lewy Bodies,Haemophilus,s__Histophilus_haemoglobinophilus,,유익
Dementia with Lewy Bodies,Bifidobacterium,g__Bifidobacterium,"s__Bifidobacterium_vaginale
s__Bifidobacterium_lacrimalis",유익
Dementia with Lewy Bodies,Collinsella,g__Collinsella,,유해
Dementia with Lewy Bodies,Collinsella,s__An7_sp002159335,,유해
Dementia with Lewy Bodies,Collinsella,s__An7_sp002159765,,유해
Dementia with Lewy Bodies,Eggerthella,g__Eggerthella,,유해
Dementia with Lewy Bodies,Eggerthella,s__Enteroscipio_sp000270285,,유해
Dementia with Lewy Bodies,Ruminococcus torques,s__Faecalicatena_torques,,유해
Dementia with Lewy Bodies,Ruminococcus torques,s__Faecalicatena_faecis,,유해
Anti-N-methyl-D-aspartate receptor (NMDAR) encephalitis,Bacteroides,g__Bacteroides,,유익
Anti-N-methyl-D-aspartate receptor (NMDAR) encephalitis,Bacteroides,s__Barnesiella_intestinihominis,,유익
Anti-N-methyl-D-aspartate receptor (NMDAR) encephalitis,Bacteroides,s__CAG-462_sp900291465,,유익
Anti-N-methyl-D-aspartate receptor (NMDAR) encephalitis,Prevotella,g__Prevotella,,유해
Anti-N-methyl-D-aspartate receptor (NMDAR) encephalitis,Prevotella,s__Prevotellamassilia_sp002933955,,유해
Anti-N-methyl-D-aspartate receptor (NMDAR) encephalitis,Prevotella,s__Dysgonomonas_sp000711235,,유해
Dilated Cardiomyopathy,Blautia,g__Blautia,,유익
Dilated Cardiomyopathy,Blautia,s__Ruminococcus_sp003011855,,유익
Dilated Cardiomyopathy,Blautia,s__Fusicatenibacter_saccharivorans,,유익
Dilated Cardiomyopathy,Blautia,s__Ruminococcus_sp000437095,,유익
Dilated Cardiomyopathy,Collinsella,g__Collinsella,,유익
Dilated Cardiomyopathy,Collinsella,s__An7_sp002159335,,유익
Dilated Cardiomyopathy,Collinsella,s__An7_sp002159765,,유익
Myxomatous Mitral Valve Disease (MMVD),Megamonas,g__Megamonas,,유익
Myxomatous Mitral Valve Disease (MMVD),Blautia,g__Blautia,,유익
Myxomatous Mitral Valve Disease (MMVD),Blautia,s__Ruminococcus_sp003011855,,유익
Myxomatous Mitral Valve Disease (MMVD),Blautia,s__Fusicatenibacter_saccharivorans,,유익
Myxomatous Mitral Valve Disease (MMVD),Blautia,s__Ruminococcus_sp000437095,,유익
Myxomatous Mitral Valve Disease (MMVD),Bacteroides,g__Bacteroides,,유익
Myxomatous Mitral Valve Disease (MMVD),Bacteroides,s__Barnesiella_intestinihominis,,유익
