serial_number,ncbi_name,abundance,abundance_mean
PD23-ST03-NGS-8X83,Escherichia coli,0.010198526476245699,0.01979153131276734
PD23-ST03-NGS-8X83,Clostridioides difficile,0.0001088810655826,0.007889322186419169
PD23-ST03-NGS-8X83,Clostridium perfringens,0.0015969222952128,0.0061871349759447586
PD23-ST03-NGS-8X83,Klebsiella pneumoniae,0.0,0.0014534092534535224
PD23-ST03-NGS-8X83,Pseudomonas aeruginosa,0.0,2.621488101111412e-05
PD23-ST03-NGS-8X83,Fusobacterium nucleatum,0.0001451747541102,4.254354690853263e-06
PD23-ST03-NGS-8X83,Clostridium botulinum,0.0,8.662262372488842e-07
PD23-ST03-NGS-8X83,Vibrio vulnificus,0.0,2.798322126053219e-07
PD23-ST03-NGS-8X83,Campylobacter jejuni,0.0,1.866643271404332e-07
PD23-ST03-NGS-8X83,Staphylococcus aureus,0.0,1.6817774369375506e-07
